Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
14.061961889266968	0	-303.1619	152.02846	133.54205	-671.09204	111.83240223463687	30.07021318589064	40036	40036
29.043671369552612	1	-271.7479	136.74677	140.5663	-665.2251	114.15384615384616	55.899321696410425	40068	80104
45.045066118240356	2	-244.37878	132.79655	140.22028	-600.3082	118.32153392330383	76.80865304318158	40111	120215
59.77374529838562	3	-219.88383	127.93059	168.77432	-585.5378	116.24057971014493	57.52461431281264	40103	160318
73.47267174720764	4	-200.43343	100.47187	124.84817	-519.0896	111.89385474860335	32.19788528746086	40058	200376
89.2117006778717	5	-179.06462	105.97169	138.52325	-484.37823	116.71720116618076	74.52343377927504	40034	240410
103.97969007492065	6	-165.7289	110.81916	240.04457	-551.79913	116.44186046511628	56.98140346397863	40056	280466
117.63479447364807	7	-170.85175	94.46925	135.72769	-432.17886	113.57790368271955	33.47089165588534	40093	320559
131.20047569274902	8	-166.19016	93.71046	145.92929	-417.8638	114.15954415954415	28.310803789158314	40070	360629
144.69953393936157	9	-153.15309	88.33464	157.92538	-457.41855	107.85714285714286	30.132744436153246	40015	400644
158.19621181488037	10	-141.00551	88.34163	141.08443	-450.50232	108.82065217391305	29.35780778320375	40046	440690
171.7209198474884	11	-136.09636	88.87307	209.15286	-374.5944	109.61917808219178	29.865821660119114	40011	480701
186.35836505889893	12	-141.83134	78.01829	163.29155	-376.6657	113.28531073446328	54.197071439212095	40103	520804
201.65159487724304	13	-127.91572	84.55822	167.37595	-395.44083	116.49127906976744	74.24452790573442	40073	560877
215.96138048171997	14	-105.237946	89.76978	151.79681	-355.94684	113.34844192634561	55.786169599064415	40012	600889
229.94612050056458	15	-114.21898	86.96491	150.17883	-360.31674	118.55917159763314	30.836624106668975	40073	640962
245.10499668121338	16	-101.06016	90.39073	176.0662	-340.2569	123.79629629629629	58.93118385648657	40110	681072
260.6571271419525	17	-97.98068	89.76657	231.91946	-338.9621	130.73529411764707	61.36735945608904	40005	721077
276.65627217292786	18	-95.3646	89.21457	168.22513	-385.0834	138.7750865051903	62.005981981282304	40106	761183
293.02172565460205	19	-74.707	100.98178	188.42168	-298.9617	147.18382352941177	70.02937432059181	40034	801217
311.16914343833923	20	-71.128654	95.575424	205.3617	-249.29063	170.40425531914894	93.49480804209628	40045	841262
328.32885551452637	21	-69.60534	104.75012	186.09865	-314.7454	178.22666666666666	60.517231338593874	40101	881363
349.17422914505005	22	-58.878006	109.18934	191.03946	-317.7624	209.91623036649216	127.41959089932823	40094	921457
369.45068287849426	23	-49.374374	120.96243	246.68005	-321.91904	233.9593023255814	100.11228333192614	40241	961698
397.7834541797638	24	-50.400913	126.71198	203.21121	-347.73233	298.7111111111111	197.63969711711056	40326	1002024
426.97153997421265	25	-37.7327	138.79318	216.33112	-393.34387	329.74590163934425	199.98248126041514	40229	1042253
458.5679931640625	26	-29.882345	143.1885	230.03386	-397.2166	381.93333333333334	232.79164060701996	40103	1082356
491.44206833839417	27	-5.091433	145.61053	226.04552	-261.68643	377.1682242990654	239.5143640349987	40357	1122713
528.3599197864532	28	2.711759	143.39139	223.49463	-415.25394	463.9425287356322	274.1643670233782	40363	1163076
564.7887217998505	29	1.5640786	134.42902	219.31612	-369.9264	454.60227272727275	275.34468232697685	40005	1203081
601.4779062271118	30	2.8666682	152.89922	211.0383	-375.46878	479.98809523809524	279.0629939998878	40319	1243400
649.9466617107391	31	-5.003283	135.36165	222.06836	-330.7501	571.0704225352113	328.12863863334263	40546	1283946
